CustomerID,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,CityTier_1,CityTier_2,CityTier_3,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn_Probability,Churn_Prediction,Satisfaction_Segment,OrderCount_Segment,Days_Segment,Tenure_Segment,OrderHike_Segment,Discount_Percentage
52930,1.9677419354838726,0.033333333333333326,1.0,0.8,0.5,0.05,1,15.0,0.125,2.0,4.451612903225807,0.49846153846153846,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.34,0,Medium,Medium,Moderate,Regular,Very High Increase,10
54363,15.741935483870968,0.36666666666666664,0.6666666666666667,0.6000000000000001,0.5,0.1,1,18.0,0.1875,3.0,1.4838709677419355,0.5015384615384615,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.31,0,Medium,Medium,Recent,Very Loyal,Moderate Increase,10
53400,1.9677419354838726,0.3333333333333333,0.6666666666666667,0.8,1.0,0.05,1,23.0,0.125,2.0,4.451612903225807,0.4553846153846154,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.46,0,Very High,Medium,Moderate,Regular,High Increase,10
53962,1.9677419354838726,0.26666666666666666,0.6666666666666667,0.6000000000000001,0.75,0.1,0,14.0,0.125,2.0,1.4838709677419355,0.4676923076923077,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.41,0,High,Medium,Recent,Regular,Very High Increase,10
50752,0.0,0.7,0.6666666666666667,0.0,0.25,0.05,0,17.0,0.0,2.0,2.967741935483871,0.39076923076923076,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.31,0,Low,Medium,Recent,New,Moderate Increase,10
51098,17.70967741935484,0.7333333333333333,0.3333333333333333,0.8,0.5,0.05,0,11.0,0.0,1.0,0.0,0.3569230769230769,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.34,0,Medium,Low,Recent,Very Loyal,Low Increase,20
53892,1.9677419354838726,0.3,1.0,0.8,0.5,0.1,1,12.0,0.125,2.0,4.451612903225807,0.5076923076923077,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0.39,0,Medium,Medium,Moderate,Regular,Low Increase,10
54727,21.64516129032258,0.9333333333333332,1.0,0.2,0.5,0.25,1,13.0,0.0625,2.0,5.935483870967743,0.5815384615384616,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.32,0,Medium,Medium,Moderate,Very Loyal,Low Increase,10
55003,1.9677419354838726,0.43333333333333335,1.0,0.6000000000000001,0.0,0.1,1,12.0,0.125,2.0,1.4838709677419355,0.46153846153846156,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.32,0,Low,Medium,Recent,Regular,Low Increase,10
53253,1.9677419354838726,0.033333333333333326,1.0,0.6000000000000001,0.25,0.1,1,14.0,0.375,8.0,13.35483870967742,0.4676923076923077,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.31,0,Low,Very High,Inactive,Regular,Very High Increase,10
50273,0.0,0.13333333333333336,0.3333333333333333,0.6000000000000001,0.25,0.05,1,11.0,0.0,1.0,4.451612903225807,0.4461538461538461,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.32,0,Low,Low,Moderate,New,Low Increase,25
55323,1.9677419354838726,0.36666666666666664,0.6666666666666667,0.8,1.0,0.5,0,18.0,0.0625,6.999999999999999,4.451612903225807,0.7015384615384616,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.34,0,Very High,Very High,Moderate,Regular,Moderate Increase,10
53411,1.9677419354838726,0.7666666666666666,0.6666666666666667,0.6000000000000001,0.5,0.25,1,12.0,0.0625,2.0,2.967741935483871,0.4492307692307692,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.38,0,Medium,Medium,Recent,Regular,Low Increase,10
52367,0.0,0.3,0.6666666666666667,0.6000000000000001,1.0,0.15000000000000002,0,12.0,0.125,2.0,2.967741935483871,0.4430769230769231,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.41,0,Very High,Medium,Recent,New,Low Increase,10
50735,17.70967741935484,0.5,0.6666666666666667,0.8,0.25,0.0,1,18.0,0.0625,1.0,4.451612903225807,0.37538461538461537,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.32,0,Low,Low,Moderate,Very Loyal,Moderate Increase,25
52925,1.9677419354838726,0.5,0.6666666666666667,0.6000000000000001,0.25,0.30000000000000004,1,14.0,0.0625,2.0,7.419354838709679,0.4584615384615385,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.37,0,Low,Medium,Inactive,Regular,Very High Increase,10
53327,1.9677419354838726,0.8666666666666667,1.0,0.6000000000000001,0.75,0.1,1,20.0,0.0625,8.0,13.35483870967742,0.4461538461538461,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.37,0,High,Very High,Inactive,Regular,Very High Increase,10
53170,1.9677419354838726,0.26666666666666666,0.6666666666666667,0.6000000000000001,0.5,0.1,1,17.0,0.0625,2.0,4.451612903225807,0.47384615384615386,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0.34,0,Medium,Medium,Moderate,Regular,Moderate Increase,10
53358,9.838709677419356,0.1,0.6666666666666667,1.0000000000000002,0.25,0.25,1,14.0,0.0625,2.0,1.4838709677419355,0.4707692307692308,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0.32,0,Low,Medium,Recent,Loyal,Very High Increase,10
52318,17.70967741935484,0.033333333333333326,0.6666666666666667,0.4000000000000001,0.0,0.05,0,15.0,0.0625,1.0,0.0,0.3569230769230769,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.36,0,Low,Low,Recent,Very Loyal,Very High Increase,20
50747,17.70967741935484,0.5666666666666667,0.6666666666666667,0.4000000000000001,0.75,0.05,0,13.0,0.0,1.0,0.0,0.37538461538461537,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.31,0,High,Low,Recent,Very Loyal,Low Increase,25
53009,1.9677419354838726,0.2,0.6666666666666667,0.6000000000000001,0.75,0.1,1,13.0,0.0625,2.0,4.451612903225807,0.46153846153846156,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.44,0,High,Medium,Moderate,Regular,Low Increase,10
50150,0.0,0.1,0.6666666666666667,0.6000000000000001,0.5,0.05,0,17.0,0.0625,1.0,0.0,0.40615384615384614,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.4,0,Medium,Low,Recent,New,Moderate Increase,15
55434,1.9677419354838726,0.3,1.0,0.6000000000000001,1.0,0.1,1,18.0,0.0625,2.0,1.4838709677419355,0.4584615384615385,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.44,0,Very High,Medium,Recent,Regular,Moderate Increase,10
53927,1.9677419354838726,0.4666666666666667,1.0,0.8,1.0,0.30000000000000004,1,14.0,0.1875,3.0,4.451612903225807,0.5723076923076923,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.46,0,Very High,Medium,Moderate,Regular,Very High Increase,10
53989,19.67741935483871,0.7333333333333333,1.0,0.6000000000000001,0.75,0.25,0,23.0,0.125,4.0,4.451612903225807,0.6584615384615384,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.32,0,High,High,Moderate,Very Loyal,High Increase,10
51510,0.0,0.25,0.6666666666666667,0.6000000000000001,0.5,0.05,1,15.0,0.0,1.0,1.4838709677419355,0.38769230769230767,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.33,0,Medium,Low,Recent,New,Very High Increase,25
51187,17.70967741935484,0.4666666666666667,0.3333333333333333,0.4000000000000001,0.5,0.05,0,16.0,0.0625,1.0,0.0,0.3538461538461538,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.4,0,Medium,Low,Recent,Very Loyal,Moderate Increase,20
52073,0.0,0.16666666666666669,0.6666666666666667,0.4000000000000001,0.0,0.05,0,15.0,0.0,1.0,0.0,0.34153846153846157,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.35,0,Low,Low,Recent,New,Very High Increase,20
54530,9.838709677419356,0.3333333333333333,0.6666666666666667,0.8,0.75,0.05,1,17.0,0.1875,3.0,4.451612903225807,0.4676923076923077,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0.39,0,High,Medium,Moderate,Loyal,Moderate Increase,10
50355,0.0,0.23333333333333334,0.6666666666666667,0.4000000000000001,0.5,0.05,1,16.0,0.0,1.0,2.967741935483871,0.39692307692307693,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0.46,0,Medium,Low,Recent,New,Moderate Increase,15
51380,17.70967741935484,0.0,0.6666666666666667,0.4000000000000001,0.0,0.1,1,16.0,0.0,2.0,0.0,0.37846153846153846,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.44,0,Low,Medium,Recent,Very Loyal,Moderate Increase,10
53657,41.322580645161295,0.26666666666666666,0.6666666666666667,0.8,1.0,0.4,1,15.0,0.3125,6.0,4.451612903225807,0.6923076923076923,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.38,0,Very High,Very High,Moderate,Very Loyal,Very High Increase,10
53555,9.838709677419356,0.2,1.0,0.8,1.0,0.35,0,18.0,0.125,2.0,1.4838709677419355,0.4492307692307692,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.37,0,Very High,Medium,Recent,Loyal,Moderate Increase,10
55583,17.70967741935484,0.4,0.6666666666666667,0.6000000000000001,0.5,0.4,1,12.0,0.1875,3.0,4.451612903225807,0.4676923076923077,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0.31,0,Medium,Medium,Moderate,Very Loyal,Low Increase,10
54161,9.838709677419356,0.033333333333333326,1.0,0.6000000000000001,0.0,0.45000000000000007,1,12.0,0.0625,2.0,8.903225806451614,0.5692307692307692,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.32,0,Low,Medium,Inactive,Loyal,Low Increase,10
52342,0.0,0.3333333333333333,0.6666666666666667,0.6000000000000001,0.0,0.05,1,11.0,0.0625,4.0,5.935483870967743,0.48615384615384616,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.44,0,Low,High,Moderate,New,Low Increase,10
